                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5437,                 4.8688,                 3.8769,                 2.5098,                0.02273,                   0.25,                0.01588,                0.00556,                0.01364,                0.13636,                 0.0038,                0.00082,                 2.5709,                 5.3973,                 58.192,                 3.1235,                0.00038,                0.00038,                0.00038
                      2,                 2.1833,                  4.094,                 3.1132,                 2.2483,                0.05542,                0.13636,                0.01594,                0.00377,                      0,                      0,                      0,                      0,                 3.6264,                 19.121,                  7.907,                  5.806,             0.00077356,             0.00077356,             0.00077356
                      3,                 2.2753,                 3.9458,                 3.0276,                 2.3237,                0.04132,                0.34091,                 0.0194,                0.00495,                 0.0086,                0.15909,                 0.0023,                 0.0003,                 3.5904,                 14.548,                 228.67,                 6.5245,              0.0011605,              0.0011605,              0.0011605
                      4,                 2.5251,                 4.1687,                 3.5643,                 2.6801,                0.04132,                0.34091,                 0.0194,                0.00495,                 0.0086,                0.15909,                 0.0023,                 0.0003,                 3.1949,                    nan,                    inf,                 185.91,              0.0015409,              0.0015409,              0.0015409
                      5,                 2.5286,                 4.4063,                 3.4201,                 2.7107,                0.04132,                0.34091,                 0.0194,                0.00495,                 0.0086,                0.15909,                 0.0023,                 0.0003,                    nan,                    nan,                    nan,                    nan,              0.0019147,              0.0019147,              0.0019147
                      6,                 2.4627,                 4.3426,                 3.0924,                 2.7605,                0.00621,                0.09091,                0.00273,                0.00091,                0.00776,                0.11364,                0.00227,                0.00049,                  4.284,                 561.58,                 231.48,                 17.886,              0.0019175,              0.0019175,              0.0019175
                      7,                 2.3939,                 4.1645,                 2.8701,                 2.6929,                0.00224,                0.59091,                  0.002,                0.00057,                0.00033,                0.06818,                0.00014,                  1e-05,                 3.3999,                 23.827,                    inf,                 7.9153,               0.001901,               0.001901,               0.001901
                      8,                  2.362,                 4.0229,                 2.8243,                 2.6724,                0.04959,                0.13636,                0.01931,                0.00334,                0.00088,                0.09091,                0.00041,                  8e-05,                 3.3575,                 70.406,                 123.15,                 7.0931,              0.0018845,              0.0018845,              0.0018845
                      9,                 2.3373,                 3.8548,                 2.6715,                 2.6867,                  0.048,                0.18182,                0.02915,                0.00586,                0.03461,                0.15909,                0.02069,                0.00403,                 3.3032,                  15.37,                 12.893,                 4.5242,               0.001868,               0.001868,               0.001868
                     10,                 2.2728,                 3.9582,                 2.6425,                 2.5366,                 0.0559,                0.40909,                0.03326,                0.01095,                0.04037,                0.29545,                0.01284,                0.00434,                  2.935,                 10.354,                 117.41,                 5.0454,              0.0018515,              0.0018515,              0.0018515
                     11,                 2.2012,                 3.7367,                 2.4755,                 2.4773,                0.07597,                   0.25,                0.05068,                 0.0129,                0.03702,                0.06818,                0.03837,                0.00478,                 2.8487,                 5.6163,                 3.4436,                 3.3933,               0.001835,               0.001835,               0.001835
                     12,                 2.2566,                 3.5961,                 2.4779,                 2.4131,                0.11892,                0.18182,                0.07918,                0.02155,                0.08885,                0.11364,                0.03031,                0.00706,                 2.6031,                 4.7432,                 3.3779,                 3.1912,              0.0018185,              0.0018185,              0.0018185
                     13,                 2.0824,                 3.4695,                 2.4282,                 2.2866,                0.28951,                0.18182,                0.19974,                0.05956,                0.40853,                0.13636,                0.15834,                0.03343,                 2.5476,                 4.2939,                 2.7809,                 3.0102,               0.001802,               0.001802,               0.001802
                     14,                 2.1238,                 3.4081,                 2.3535,                  2.294,                0.36473,                0.34091,                0.32064,                0.09034,                0.19095,                0.18182,                0.14985,                0.03045,                 2.4332,                  4.404,                 2.7455,                 3.0421,              0.0017855,              0.0017855,              0.0017855
